Codigo Punto de Venta;Punto de Venta;Empresas;Latitud;Longitud;Canal;Zona;Distrito
51670;CASA MARKET;PERNOD RICARD PERU S.A.;-13.5179462;-71.9791717;TRADICIONAL;CUSCO;CUSCO
51677;LA CANASTA SANTA MONICA;PERNOD RICARD PERU S.A.;-13.5266631;-71.9496015;TRADICIONAL;CUSCO;CUSCO
51691;SOMM VINOTECA;PERNOD RICARD PERU S.A.;-13.5229156;-71.9689824;TRADICIONAL;CUSCO;CUSCO
51698;D EVER MERINO;PERNOD RICARD PERU S.A.;-5.182087;-80.6405557;TRADICIONAL;PIURA;PIURA
51699;GRIFO MEGA;PERNOD RICARD PERU S.A.;-5.181906282;-80.63094532;TRADICIONAL;PIURA;PIURA
51709;FLORISTERIA;PERNOD RICARD PERU S.A.;-8.117692726;-79.03313035;TRADICIONAL;TRUJILLO;TRUJILLO
51713;PAYEST;PERNOD RICARD PERU S.A.;-8.1123026;-79.0194107;TRADICIONAL;TRUJILLO;TRUJILLO
51719;ROGER CIUDAD EXPRESS;PERNOD RICARD PERU S.A.;-8.125893151;-79.03590882;TRADICIONAL;TRUJILLO;TRUJILLO
51720;ROGER CIUDAD SINCHI ROCA;PERNOD RICARD PERU S.A.;-8.114671987;-79.02405807;TRADICIONAL;TRUJILLO;TRUJILLO
51868;ALMENDARIZ PUNTA HERMOSA;PERNOD RICARD PERU S.A.;-12.33261247;-76.82583637;TRADICIONAL;LIMA;PUNTA HERMOSA
51869;CABALLO BLANCO CASTILLA;PERNOD RICARD PERU S.A.;-12.088103;-77.0726935;TRADICIONAL;LIMA;MAGDALENA DEL MAR
51898;VILLER MINKA;PERNOD RICARD PERU S.A.;-12.0483516;-77.109853;TRADICIONAL;LIMA;CHICLAYO
51900;SUPER MEGA;PERNOD RICARD PERU S.A.;-12.3313702;-76.8249199;TRADICIONAL;LIMA;CHICLAYO
51903;LICORERIA B&S;PERNOD RICARD PERU S.A.;-12.0749749;-76.9883832;TRADICIONAL;LIMA;CHICLAYO
52849;FRANCO LAMBRAMANI;PERNOD RICARD PERU S.A.;-16.41331274;-71.52044892;TRADICIONAL;AREQUIPA;AREQUIPA
